Block Index,Ref Block Index,Participant,Date,Score,Social Knowledge Building,Initial Text,Processed Text
56,55,stefan-blog,Thu Jan 01 12:01:24 EET 1970,0.03711342590785749,1.3535854817394122E-4,LAN,lan.
57,56,cristi-wave,Thu Jan 01 12:01:29 EET 1970,1.6431405771653154,0.8836370118937248,Nowadays a fast internet connection is everywhere :),nowadays fast internet connection.
58,,stefan-blog,Thu Jan 01 12:01:32 EET 1970,0.0,0.0,Or VPN,.
59,57,Mona-chat,Thu Jan 01 12:02:06 EET 1970,11.389410331381445,46.41130694908461,True.... internet connection is not really a problem nowadays....  so we all agree that video chat is the best solution for a “virtual” meeting,true. internet connection really problem nowadays agree video chat good solution virtual meet.
60,59,cristi-wave,Thu Jan 01 12:02:59 EET 1970,0.28263756134176626,0.04967245678835123,Undoubtedly,undoubtedly.
61,59,corina-forum,Thu Jan 01 12:03:09 EET 1970,0.0,0.0,Yes!,.
62,59,Mona-chat,Thu Jan 01 12:03:25 EET 1970,1.5942572570233982,0.0,So.... one activity solved....,. activity solve.
63,58,stefan-blog,Thu Jan 01 12:03:30 EET 1970,1.5917455666364477,0.0,OK so for meetings we have video chat,meeting video chat.
64,51,corina-forum,Thu Jan 01 12:03:37 EET 1970,7.678096016152715,22.594051402262863,Well last time we agreed that wiki is the most reliable source.... :),good time agree wiki reliable source.
65,64,Mona-chat,Thu Jan 01 12:04:19 EET 1970,6.0107286536902365,16.207887610617153,I think wiki would be perfect for project specification.... Or simply describing the workflow of an activity,think wiki perfect project specification. simply describe workflow activity.
66,65,diana-wiki,Thu Jan 01 12:05:01 EET 1970,4.324064408050229,2.010703806199962,Agree it is written and edited by more than one person so you can have an objective opinion,agree write edit person objective opinion.
67,65,cristi-wave,Thu Jan 01 12:05:11 EET 1970,1.2095560429651444,0.407043386652626,True .... wiki = how to,true. wiki.
68,65,corina-forum,Thu Jan 01 12:05:16 EET 1970,3.907294438016001,4.332250251966155,Yes.well at the beginning of a project we must use wiki for research...,begin project use wiki research.
69,65,stefan-blog,Thu Jan 01 12:05:17 EET 1970,8.203039680424274,44.499416518767205,I don't think wiki is good for project specification unless it has restricted access,think wiki good project specification restrict access.
70,69,cristi-wave,Thu Jan 01 12:05:44 EET 1970,2.146132732954735,0.8927713277764344,Not if the project is an open source ;),project open source.
71,69,stefan-blog,Thu Jan 01 12:05:52 EET 1970,2.739021937213761,0.0,The document should be updated only by project managers,document update project manager.
72,70,cristi-wave,Thu Jan 01 12:05:57 EET 1970,0.0,0.0,One,.
73,72,stefan-blog,Thu Jan 01 12:06:22 EET 1970,0.0,0.0,One what?,.
74,71,Mona-chat,Thu Jan 01 12:06:34 EET 1970,4.589917903496614,6.081254187202847,I don't think the project manager should be the only one to modify it,think project manager modify.
75,73,cristi-wave,Thu Jan 01 12:06:42 EET 1970,0.7567711877928475,0.0,It was the end for my sentence above :),end sentence.
76,74,stefan-blog,Thu Jan 01 12:06:49 EET 1970,0.0,0.0,Why?,.
77,71,corina-forum,Thu Jan 01 12:07:26 EET 1970,6.645644212042198,9.611212590868094,I agree...but the others can have an opinion.so they can use a forum to discuss to make a poll ...,agree use forum discuss make poll.
78,76,Mona-chat,Thu Jan 01 12:08:10 EET 1970,4.463545087033212,5.096214581025831,Every employee or group of employees could write and describe their activities,employee group employee write describe activity.
79,,stefan-blog,Thu Jan 01 12:08:20 EET 1970,4.801433733868635,3.5597158333391796,Is fixed. If the customer wants something we can't say what he/se wants,fix. customer want say want.
80,,Mona-chat,Thu Jan 01 12:08:22 EET 1970,7.304465801466167,23.517488806418942,Every employee could describe his/her activities... and this way everyone will know how the project is going,employee describe activity way know project go.
81,80,diana-wiki,Thu Jan 01 12:08:54 EET 1970,2.988870671420307,6.484185377913535,Yes and everyone could express their ideas about the project,express idea project.
82,80,corina-forum,Thu Jan 01 12:09:00 EET 1970,2.451887378934046,4.339482654255083,True.but the official document must be done by the project manager...,official document project manager.
83,81,Mona-chat,Thu Jan 01 12:09:09 EET 1970,1.1780650703523992,0.3940995647501811,Or come with suggestions,come suggestion.
84,82,stefan-blog,Thu Jan 01 12:09:23 EET 1970,3.0445626710911777,5.899705569833179,That's why I think it should be a restricted wiki or a blog,think restrict wiki blog.
85,82,Mona-chat,Thu Jan 01 12:09:39 EET 1970,2.6258683430817684,0.6832513880930565,Yes.... but such a wiki page would be a great starting point,. wiki page great start point.
86,83,stefan-blog,Thu Jan 01 12:09:40 EET 1970,0.5230990398250329,0.13049831484945784,Comments on blog,comment blog.
87,82,diana-wiki,Thu Jan 01 12:09:41 EET 1970,10.97744691602924,42.520030005030435,Of course but it is very important to have as many ideas as possible;e. And I think forum is suitable for this kind of activity,course important idea possible think forum suitable kind activity.
88,84,Mona-chat,Thu Jan 01 12:10:01 EET 1970,2.85084926182657,2.4107271749037675,I agree the access to the wiki page should be restricted,agree access wiki page restrict.
89,84,corina-forum,Thu Jan 01 12:10:05 EET 1970,5.840251649479165,11.56697631242338,Well blog can be used for history...and in the blog everyone can write what they are doing...,good blog use history blog write.
90,87,stefan-blog,Thu Jan 01 12:10:13 EET 1970,4.588953316851806,11.68736145279901,For projects specification I think a blog is enough. Posts and comments,project specification think blog. post comment.
91,90,cristi-wave,Thu Jan 01 12:10:34 EET 1970,1.8853885020811696,0.7589454223153755,For small projects .yes,small project. yes.
92,87,Mona-chat,Thu Jan 01 12:11:15 EET 1970,12.974051403386268,43.817307194046975,Speaking OD ideas I was thinking of a web page that has also a chat system incorporated... and this way customers or potential customers could talk directly to our employees,speak od idea think web page chat system incorporate way customer potential customer talk directly employee.
93,91,stefan-blog,Thu Jan 01 12:11:18 EET 1970,0.4731980461781621,0.11519545001802194,Why not for big ones?,big.
94,90,cristi-wave,Thu Jan 01 12:11:22 EET 1970,5.62264770069346,8.767866850847202,But for a large one ... use cases lots of PDF files ... probably wiki,large use case lot pdf file probably.
95,94,stefan-blog,Thu Jan 01 12:11:46 EET 1970,3.752268489181687,7.053276670492001,For projects yes for specification blogs. And the blog should have a link to the wiki related to the project,project yes specification blogs. blog link wiki relate project.
96,92,corina-forum,Thu Jan 01 12:12:29 EET 1970,7.461724321088518,22.03010160620254,It is a good idea if an employee is online all the time,good idea employee online time.
97,92,diana-wiki,Thu Jan 01 12:12:46 EET 1970,4.9875715573190185,10.147623254611624,Sounds good and after that we could save the answers and post them,sound good answer post.
98,92,corina-forum,Thu Jan 01 12:13:00 EET 1970,2.572674118985365,2.7353662438858057,otherwise they should use the forum,use forum.
99,97,diana-wiki,Thu Jan 01 12:13:15 EET 1970,3.410502291234661,0.0,So in case someone has the same problem they could solve it faster,case problem solve fast.
100,93,stefan-blog,Thu Jan 01 12:16:01 EET 1970,3.4456969179015573,0.0,Don't forget that a project has contact with the client only in the begging and in the end,forget project contact client beg end.
101,100,diana-wiki,Thu Jan 01 12:16:37 EET 1970,2.6185929784515585,1.0571166638809133,Not really we should offer assistance. And training,really offer assistance. train.
102,101,stefan-blog,Thu Jan 01 12:17:07 EET 1970,1.2418992113955862,1.7877505584746287,after the project is done,project.
103,100,corina-forum,Thu Jan 01 12:17:36 EET 1970,6.97294326876577,30.931982115288605,Well the client must know the progress of a projectno?,good client know progress project.
104,102,diana-wiki,Thu Jan 01 12:17:47 EET 1970,3.1967400404158433,5.152731992618476,And also during the project in case some major difficulties,project case major difficulty.
105,104,stefan-blog,Thu Jan 01 12:18:14 EET 1970,1.3928407482229554,0.9831674809862988,I agree,agree.
106,102,diana-wiki,Thu Jan 01 12:18:30 EET 1970,5.504042638328234,5.175193710516181,Maybe a major change must be done so we must stay in touch with our clients during the whole project,maybe major change stay touch client whole project.
107,,corina-forum,Thu Jan 01 12:18:43 EET 1970,4.218670942687327,6.398740474297354,OK guys we are taking a small break now! Keep your ideas please!,okay guy take small break. keep idea.
108,105,cristi-wave,Thu Jan 01 12:18:46 EET 1970,3.48040171287123,6.028265715645473,Yes...sometime the client wants to be in touch with all the stages,client want touch stage.
109,,corina-forum,Thu Jan 01 12:19:17 EET 1970,1.6061701329156426,0.6734972326483359,Mona is out because of her Internet connection! So let's wait for her!,mona internet connection. let wait.
110,,diana-wiki,Thu Jan 01 12:19:32 EET 1970,0.5114696643851996,0.12028468948813899,OK :),okay.
111,,stefan-blog,Thu Jan 01 12:19:50 EET 1970,0.5114696643851996,0.5114696643851996,OK,okay.
112,,Mona-chat,Thu Jan 01 12:24:17 EET 1970,0.3667580198254884,0.1778655963440437,Sorry guys....,sorry guy.
113,,stefan-blog,Thu Jan 01 12:24:32 EET 1970,1.1833086699339102,1.5876469357032288,No problem,problem.
114,112,corina-forum,Thu Jan 01 12:24:46 EET 1970,1.850329040112947,0.5270681185905081,It's OK to continue this chat like this? Or we should start another one?,okay continue chat. start.
115,112,Mona-chat,Thu Jan 01 12:24:58 EET 1970,2.773181033339207,0.0,We were talking about reliable internet connections...,talk reliable internet connection.
116,,stefan-blog,Thu Jan 01 12:25:05 EET 1970,5.520681477773561,5.696680888206763,I think we should wait until your first nickname automatic disconnects. 5 min I think is enough,think wait nickname automatic disconnect. min think.
117,116,Mona-chat,Thu Jan 01 12:25:36 EET 1970,5.735112849528608,11.341619097859038,I talked to Train and it's OK... I'll continue using this new nickname,talk train okay continue use new nickname.
118,116,cristi-wave,Thu Jan 01 12:25:39 EET 1970,3.207198140703662,2.1642313495254992,I don't think is going to happen :),think go happen.
119,,stefan-blog,Thu Jan 01 12:25:46 EET 1970,0.5114696643851996,0.6327164971550833,OK,okay.
120,116,corina-forum,Thu Jan 01 12:25:59 EET 1970,0.352627006942497,0.03724324819401775,It is a bug in the program :p,bug program.
121,,stefan-blog,Thu Jan 01 12:26:06 EET 1970,0.1025892995937342,0.002176905088262492,Kill it:P,kill.
122,117,corina-forum,Thu Jan 01 12:26:14 EET 1970,0.7418044586694033,0.1493967601886939,OK! Perfect,. perfect.
123,120,cristi-wave,Thu Jan 01 12:26:21 EET 1970,0.693636263917111,0.08957667377295205,Yes...chat is sometimes unreliable,chat unreliable.
124,,Mona-chat,Thu Jan 01 12:26:51 EET 1970,2.751897918471101,0.6568327957657051,OK.... so what we were talking about before the connection issue?,okay. talk connection issue.
125,123,Mona-chat,Thu Jan 01 12:27:40 EET 1970,2.339629557273601,0.35242809999897623,as long as it depends on an internet connection...,long depend internet connection.
126,124,cristi-wave,Thu Jan 01 12:27:40 EET 1970,1.6266590789039534,0.5399386239196106,Meeting board,meet board.
127,124,corina-forum,Thu Jan 01 12:27:48 EET 1970,8.90463102860859,8.649859102335856,About different stages of a project... a client must know about them.so wiki is a good solution,different stage project client know wiki good solution.
128,126,corina-forum,Thu Jan 01 12:28:04 EET 1970,1.1991106818367399,0.9058067679031163,Meeting?,meet.
129,127,stefan-blog,Thu Jan 01 12:28:05 EET 1970,0.5114696643851996,0.5566777540599224,OK,okay.
130,,corina-forum,Thu Jan 01 12:29:12 EET 1970,9.402196262676677,0.8939691434445206, so we agree that wiki is a good solution when we want to present a product/the evolution of a project to a client ?,agree wiki good solution want present evolution project client.
131,,diana-wiki,Thu Jan 01 12:29:21 EET 1970,3.3616933926046997,3.280788150068209,What about selling our products.what technologies we should use for this?,sell technology use.
132,130,stefan-blog,Thu Jan 01 12:29:49 EET 1970,0.0,0.0,Yes,.
133,131,stefan-blog,Thu Jan 01 12:30:15 EET 1970,1.0718594498187533,0.11171366631257222,Voice chat,voice chat.
134,130,diana-wiki,Thu Jan 01 12:30:17 EET 1970,7.541419845449301,11.888221060180735,Yes and we can also use chats in order to stay in touch and offer help to our customers,use chat order stay touch offer help customer.
135,133,diana-wiki,Thu Jan 01 12:30:45 EET 1970,2.224215417756474,0.27887412264240197,I meant something like advertising,mean advertise.
136,135,stefan-blog,Thu Jan 01 12:30:54 EET 1970,0.0,0.0,Spam :P,spam.
137,,corina-forum,Thu Jan 01 12:30:56 EET 1970,4.286870313463597,2.9472859106061886,Guys.we stop here I think!. Keep your ideas! :P,stop think. keep idea. .
138,127,Mona-chat,Thu Jan 01 12:31:40 EET 1970,11.915030856814758,30.17144935803505,Yes.... and I was also saying that a chat system that would allow us to talk directly to our clients would also be a good idea. I think the connection is up and running again.,. say chat system allow talk directly client good idea. think connection run.
139,138,corina-forum,Thu Jan 01 12:32:28 EET 1970,0.7418044586694033,0.15910743487693396,Perfect,perfect.
140,131,corina-forum,Thu Jan 01 12:32:55 EET 1970,5.241103182031317,8.221381866173504,To sell our products blog is the best solution,sell product blog good solution.
141,140,diana-wiki,Thu Jan 01 12:33:07 EET 1970,0.0,0.0,Why. ?,.
142,140,Mona-chat,Thu Jan 01 12:34:07 EET 1970,5.939758220762741,22.180534010632513,A blog would be a good way to advertise our products,blog good way advertise product.
143,140,cristi-wave,Thu Jan 01 12:34:08 EET 1970,1.3928407482229554,0.2963947161471481,Agree,agree.
144,141,stefan-blog,Thu Jan 01 12:35:09 EET 1970,0.312366827861142,0.0,because it has reviews. And you can rate it,review. rate.
145,141,corina-forum,Thu Jan 01 12:35:19 EET 1970,10.583199987193039,33.33187160500958,Well on a blog you can put questions about the product...and usually the blog is used in this kind of things,good blog put question product usually blog use kind thing.
146,145,diana-wiki,Thu Jan 01 12:36:07 EET 1970,6.1152001223264225,25.722768228394976,But maybe a post on a forum would be also a good idea,maybe post forum good idea.
147,146,cristi-wave,Thu Jan 01 12:36:11 EET 1970,4.371485530377828,11.283304664508883,I saw a lot of blogs for selling stuff ... I agree,see lot blogs sell stuff agree.
148,145,Mona-chat,Thu Jan 01 12:36:23 EET 1970,6.3990913113196735,19.234868356809315,A blog would also be useful for describing our latest products in order to convince the potential customers to buy,blog useful describe late product order convince potential customer buy.
149,148,cristi-wave,Thu Jan 01 12:36:50 EET 1970,1.7199255041662513,0.7384099107131912,And posting some images for example,post image example.
150,146,corina-forum,Thu Jan 01 12:37:22 EET 1970,7.106455748761322,25.96896420568578,The forum is used to find more about something...for promotion blog is the best solution in my opinion.,forum use promotion blog good solution opinion.
151,148,stefan-blog,Thu Jan 01 12:37:26 EET 1970,0.5047353430387342,0.09388951311974535,And videos,video.
152,146,Mona-chat,Thu Jan 01 12:37:32 EET 1970,5.809365971623946,15.269941979080038,A forum would be useful for offering solutions to some problems that our customers have,forum useful offer solution problem customer.
153,152,corina-forum,Thu Jan 01 12:38:35 EET 1970,4.220345748005082,4.60098612546127,I agree...also other people can offer solutions not only us,agree people offer solution.
154,152,diana-wiki,Thu Jan 01 12:39:00 EET 1970,9.799612339888798,56.46031140518523,Agree but I meant that maybe we can discover that someone has a problem and post it on a forum and we can post back to offer our product as solution,agree mean maybe discover problem post forum post back offer product solution.
155,153,Mona-chat,Thu Jan 01 12:39:09 EET 1970,6.432386007145521,18.41985376238563,And chat would also be great... as customers could have real-time feedback from the developers of the products they are using,chat great customer feedback developer product use.
156,152,corina-forum,Thu Jan 01 12:39:10 EET 1970,3.632639223897019,10.903954735843602, or we can make a poll to find out what our customers will like to buy,make poll customer buy.
157,156,diana-wiki,Thu Jan 01 12:40:15 EET 1970,3.100677739504013,11.020410576637232,What about new customers? What should we use for attracting them?,new customer. use attract.
158,156,cristi-wave,Thu Jan 01 12:40:24 EET 1970,5.039889019578441,33.50053482364332,For selling the best solution is something like eBay  but this is not our topic now,sell good solution ebay topic.
159,155,corina-forum,Thu Jan 01 12:40:33 EET 1970,3.591620967750063,4.4656525994902445,True .but for using a chat the developers must be online.so if they are not online....,true. use chat developer online.
160,155,Mona-chat,Thu Jan 01 12:40:41 EET 1970,9.496719875086752,26.796936701539387,From time to time we could also organize chats with customers and employees and ask for new ideas....,time time organize chat customer employee ask new idea.
161,158,corina-forum,Thu Jan 01 12:40:49 EET 1970,4.8142434258618625,15.218619781998447,And in this case the best solution is a blog,case good solution blog.
162,160,corina-forum,Thu Jan 01 12:41:22 EET 1970,2.373371745979537,3.5396573367611657,This is a great idea!,great idea.
163,159,Mona-chat,Thu Jan 01 12:41:38 EET 1970,6.720595498845995,10.188807592302968,If we are truly caring about or customers we could have special employees just for this kind of activity,truly care customer special employee kind activity.
164,157,corina-forum,Thu Jan 01 12:41:50 EET 1970,6.889334517802199,19.24923751041105,Well is also about promoting/selling our image...so blog is the best solution,good image blog good solution.
165,163,corina-forum,Thu Jan 01 12:42:33 EET 1970,4.132423021173587,4.10007231915923,Yes.but if they need more details? Chat is OK for small problems,need detail. chat okay small problem.
166,165,cristi-wave,Thu Jan 01 12:43:14 EET 1970,3.391749653601769,10.76842611844754,Good point,good point.
167,165,diana-wiki,Thu Jan 01 12:43:31 EET 1970,2.7577570028682956,1.0675994823969255,You can select some participants at the chat at have a real conversation with them,select participant chat real conversation.
168,165,Mona-chat,Thu Jan 01 12:44:44 EET 1970,7.793017475421996,33.09082799686483,if there is someone that can answer customers' questions I don't think the complexity of the solution is an issue,answer customer question think complexity solution issue.
169,167,corina-forum,Thu Jan 01 12:45:12 EET 1970,8.054071714740818,7.413136685473633,Sometimes we need a bigger answer s a post on a forum is OK.on a chat we use small sentences,need big answer post forum chat use small sentence.
170,168,Mona-chat,Thu Jan 01 12:45:21 EET 1970,4.962384986404604,0.0,A qualified person and answers to all kinds of questions...,qualify person answer kind question.
171,167,cristi-wave,Thu Jan 01 12:45:32 EET 1970,2.8420796865811027,0.905202933404213,At least a voice chat ... I have not heard so far about selling something just chatting :),voice chat hear far sell chat.
172,169,Mona-chat,Thu Jan 01 12:45:53 EET 1970,2.9091674962815097,3.1091456495397605,True... a forum could also be useful,true forum useful.
173,171,corina-forum,Thu Jan 01 12:46:22 EET 1970,6.7521697859062035,10.061442960938928,True a voice chat it would be awesome...so in this case using wave is the solution?,true voice chat awesome case use wave solution.
174,172,Mona-chat,Thu Jan 01 12:46:32 EET 1970,5.9941385744127444,20.925043604495592,And this way the solutions to all kinds of problems will be there for others to see as well,way solution kind problem see.
175,173,cristi-wave,Thu Jan 01 12:46:55 EET 1970,2.5609607455924928,1.8394094927548923,I think so,think.
176,175,Mona-chat,Thu Jan 01 12:47:13 EET 1970,3.278982919586205,4.634566039315949,Voice chatting with our customers seems a little too much to me...,voice chat customer seem little.
177,176,diana-wiki,Thu Jan 01 12:47:21 EET 1970,1.3928407482229554,0.21967100551277202,I agree,agree.
178,175,stefan-blog,Thu Jan 01 12:47:31 EET 1970,1.3820780175530887,0.10663021730128366,It is very useful but it is demanding,useful demand.
179,178,Mona-chat,Thu Jan 01 12:47:34 EET 1970,5.873795883452889,1.381353525841906,This means only one customer could receive help at a time,mean customer receive help time.
180,177,diana-wiki,Thu Jan 01 12:47:38 EET 1970,4.9793770414205145,14.172287002302005,I think we waste too much time,think waste time.
181,176,corina-forum,Thu Jan 01 12:47:40 EET 1970,1.596765149668202,0.49575043270848074, but we can record the chat and put it on the blog :),record chat put blog.
182,181,diana-wiki,Thu Jan 01 12:48:12 EET 1970,3.986981522390875,6.536437144490275,In this case why not using a classical chat?without voice,case use classical voice.
183,179,diana-wiki,Thu Jan 01 12:48:55 EET 1970,1.9565839106433445,2.0233502642510843,And we should have a lot of employees doing that,lot employee.
184,181,corina-forum,Thu Jan 01 12:49:02 EET 1970,6.036573177810262,10.31381166423171,True..... but maybe we can explain some problems better on the phone/with our voice :P,true. maybe explain problem good voice.
185,182,Mona-chat,Thu Jan 01 12:49:06 EET 1970,2.943263611609846,1.3793239706001694,Classical chat offers the possibility of “multitasking” ... if I may call it like that,classical chat offer possibility multitask call.
186,185,diana-wiki,Thu Jan 01 12:49:42 EET 1970,4.559478460945055,12.068653155678774,Exactly and even it is impersonal I consider it a good option,exactly impersonal consider good option.
